,region,customer_lifetime_value,response,coverage,education,month,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
27,north west,4376,yes,premium,bachelor,feb,employed,f,63774,rural,divorced,111,18,63,0,1,personal auto,personal l3,offer2,agent,four-door car,medsize
28,central,2926,no,basic,college,feb,employed,f,92381,urban,married,72,24,27,0,1,special auto,special l2,offer2,call center,four-door car,medsize
29,west region,24706,no,basic,high school or below,jan,medical leave,m,26307,urban,married,73,26,1,0,2,personal auto,personal l2,offer4,call center,four-door car,medsize
30,west region,8491,no,premium,high school or below,jan,unemployed,f,50446,suburban,single,116,3,97,0,3,personal auto,personal l3,offer1,branch,four-door car,large
31,west region,9191,no,basic,master,feb,employed,f,23823,suburban,married,115,5,39,0,6,corporate auto,corporate l2,offer2,branch,sports car,medsize
32,central,5776,no,premium,high school or below,jan,medical leave,f,27510,suburban,married,159,5,28,3,1,corporate auto,corporate l3,offer1,call center,suv,small
33,west region,9115,no,basic,bachelor,feb,employed,f,69588,rural,married,114,19,45,0,6,personal auto,personal l1,offer1,branch,suv,medsize
34,west region,4163,no,basic,college,feb,employed,f,43276,suburban,married,104,16,11,0,1,personal auto,personal l3,offer2,call center,suv,large
35,west region,5264,no,basic,college,feb,unemployed,f,73430,rural,divorced,72,30,26,0,8,special auto,special l3,offer1,branch,four-door car,medsize
36,west region,3945,no,basic,college,jan,medical leave,m,28855,suburban,married,101,12,59,0,1,personal auto,personal l2,offer3,call center,suv,medsize
37,north west,5176,no,basic,high school or below,feb,employed,m,41533,urban,married,65,2,46,0,9,corporate auto,corporate l2,offer3,agent,four-door car,medsize
38,central,4492,no,basic,bachelor,jan,medical leave,f,21137,suburban,single,61,29,62,1,6,personal auto,personal l1,offer2,web,four-door car,medsize
39,north west,8470,no,extended,bachelor,feb,unemployed,f,71268,suburban,single,82,1,13,0,2,personal auto,personal l2,offer2,web,four-door car,large
40,west region,2880,no,basic,college,jan,employed,f,81565,urban,married,71,19,54,0,1,personal auto,personal l2,offer2,branch,four-door car,medsize
41,central,6182,no,extended,high school or below,feb,medical leave,m,20072,suburban,married,82,35,51,0,9,corporate auto,corporate l3,offer1,agent,four-door car,medsize
42,central,9799,no,extended,college,jan,medical leave,m,22166,suburban,married,126,10,22,0,6,personal auto,personal l3,offer1,web,suv,medsize
43,central,5790,no,basic,master,feb,employed,m,84551,rural,divorced,72,10,82,0,5,personal auto,personal l3,offer2,agent,four-door car,large
44,central,5041,no,basic,college,jan,employed,m,61972,rural,married,64,2,52,2,5,personal auto,personal l1,offer4,call center,four-door car,medsize
45,central,5745,no,basic,bachelor,jan,employed,f,57740,urban,married,74,30,87,3,9,personal auto,personal l1,offer3,web,four-door car,medsize
46,central,4827,no,basic,college,jan,unemployed,f,82108,suburban,single,68,29,91,0,6,personal auto,personal l3,offer1,branch,four-door car,medsize
47,west region,7664,no,basic,college,jan,employed,m,60184,rural,divorced,199,7,44,1,1,personal auto,personal l3,offer2,web,luxury suv,medsize
48,west region,3593,no,extended,college,feb,disabled,f,18213,suburban,divorced,96,12,43,1,1,corporate auto,corporate l2,offer1,branch,four-door car,large
49,central,9863,no,extended,master,feb,employed,f,99654,rural,married,121,13,95,0,3,personal auto,personal l3,offer3,call center,suv,medsize
50,west region,5111,no,basic,high school or below,feb,employed,f,76448,suburban,married,63,9,13,0,3,personal auto,personal l3,offer3,web,four-door car,medsize
51,central,2590,no,basic,high school or below,jan,employed,m,22398,suburban,married,67,14,76,0,1,personal auto,personal l1,offer1,agent,four-door car,large
52,central,2452,no,basic,high school or below,jan,employed,f,51085,suburban,married,62,4,58,1,1,personal auto,personal l3,offer3,call center,two-door car,small
53,north west,2194,no,basic,college,jan,unemployed,m,73465,suburban,single,62,11,48,0,1,personal auto,personal l3,offer4,call center,four-door car,medsize
54,west region,4473,no,extended,high school or below,feb,unemployed,f,14895,suburban,divorced,125,2,84,0,1,personal auto,personal l1,offer1,branch,suv,medsize
55,central,19435,no,extended,high school or below,feb,employed,f,38688,suburban,single,249,22,6,0,3,special auto,special l3,offer1,agent,luxury car,medsize
56,north west,2457,no,basic,high school or below,jan,employed,f,52926,suburban,married,61,2,92,0,1,personal auto,personal l3,offer1,call center,four-door car,medsize
57,north west,6870,no,premium,college,jan,unemployed,m,18356,suburban,single,105,5,87,0,3,personal auto,personal l3,offer1,branch,four-door car,small
58,north west,14019,yes,basic,college,feb,employed,m,31739,suburban,divorced,71,10,29,0,2,personal auto,personal l3,offer4,call center,two-door car,small
59,central,5575,no,basic,high school or below,jan,employed,m,91416,rural,married,69,6,39,0,5,personal auto,personal l3,offer2,call center,four-door car,medsize
60,north west,5651,no,basic,bachelor,jan,employed,m,44634,suburban,married,71,16,99,1,9,personal auto,personal l3,offer1,branch,four-door car,small
61,west region,4556,no,basic,bachelor,feb,medical leave,m,25617,suburban,divorced,63,22,3,0,3,personal auto,personal l3,offer2,call center,two-door car,medsize
62,west region,2108,no,basic,bachelor,jan,unemployed,m,84934,suburban,single,61,8,91,0,1,personal auto,personal l2,offer1,agent,two-door car,medsize
63,north west,3095,no,extended,college,jan,unemployed,f,92786,suburban,single,92,31,24,1,1,personal auto,personal l3,offer3,web,two-door car,small
64,central,5860,no,basic,bachelor,feb,employed,m,94527,rural,married,73,16,32,0,3,personal auto,personal l1,offer1,agent,four-door car,medsize
65,north west,2300,yes,basic,bachelor,jan,retired,m,25905,suburban,divorced,63,21,12,0,1,corporate auto,corporate l3,offer1,agent,four-door car,large
66,west region,4950,no,basic,high school or below,jan,employed,f,27400,suburban,married,63,14,78,1,9,personal auto,personal l1,offer3,agent,four-door car,medsize
67,east,7507,yes,basic,college,feb,employed,m,60920,urban,single,64,13,61,0,2,personal auto,personal l3,offer2,agent,two-door car,medsize
68,central,2224,no,basic,college,jan,unemployed,f,54388,suburban,single,64,20,4,0,1,corporate auto,corporate l2,offer2,branch,four-door car,medsize
69,north west,2867,yes,extended,bachelor,jan,retired,f,23376,suburban,divorced,78,19,18,0,1,personal auto,personal l3,offer2,call center,four-door car,medsize
70,north west,5427,no,basic,college,feb,medical leave,f,27677,suburban,married,72,10,82,1,3,personal auto,personal l3,offer2,agent,four-door car,medsize
71,central,12157,no,extended,high school or below,jan,employed,m,40432,suburban,married,77,21,66,0,2,personal auto,personal l3,offer3,agent,four-door car,medsize
72,west region,8152,no,extended,high school or below,jan,unemployed,m,96230,suburban,single,79,19,70,0,2,personal auto,personal l1,offer1,agent,four-door car,small
73,central,2191,no,basic,college,jan,unemployed,m,95647,suburban,single,61,9,16,1,1,special auto,special l2,offer1,agent,four-door car,medsize
74,north west,26346,no,extended,high school or below,jan,employed,m,48268,suburban,divorced,223,28,26,0,2,personal auto,personal l2,offer1,web,luxury suv,medsize
75,north west,2364,no,basic,college,jan,employed,m,46264,urban,single,62,17,75,0,1,corporate auto,corporate l1,offer4,branch,four-door car,medsize
76,west region,2710,no,basic,doctor,jan,unemployed,m,92915,suburban,married,71,7,87,0,1,personal auto,personal l3,offer1,agent,four-door car,small
77,east,74228,no,extended,high school or below,jan,unemployed,m,88140,suburban,single,242,1,34,0,2,personal auto,personal l1,offer1,branch,luxury car,medsize
78,west region,14687,no,extended,bachelor,feb,unemployed,m,49080,suburban,single,85,3,61,0,2,personal auto,personal l1,offer1,web,four-door car,small
79,central,9312,no,premium,high school or below,feb,employed,m,75986,rural,married,115,11,44,0,3,personal auto,personal l3,offer3,call center,four-door car,medsize
80,west region,7750,no,basic,college,feb,employed,f,22668,rural,single,67,5,34,1,2,personal auto,personal l2,offer3,branch,four-door car,medsize
81,east,2540,no,basic,master,feb,employed,m,42557,rural,single,65,4,35,0,1,personal auto,personal l3,offer4,agent,four-door car,large
82,central,2456,no,basic,high school or below,feb,unemployed,m,99801,suburban,single,73,15,59,0,1,personal auto,personal l3,offer4,branch,four-door car,small
83,north west,3755,no,extended,high school or below,jan,employed,f,56178,suburban,married,94,1,39,0,1,personal auto,personal l3,offer2,branch,four-door car,medsize
84,central,5181,no,basic,college,feb,unemployed,f,28522,suburban,married,70,9,64,1,7,personal auto,personal l1,offer1,branch,four-door car,large
85,north west,32474,no,basic,high school or below,jan,employed,m,71449,suburban,divorced,102,17,7,0,2,personal auto,personal l3,offer4,call center,suv,small
86,west region,8349,no,basic,bachelor,jan,employed,m,45428,urban,divorced,109,3,46,0,3,corporate auto,corporate l3,offer1,call center,suv,medsize
87,north west,8126,no,basic,college,feb,disabled,f,14616,suburban,married,107,2,73,0,3,personal auto,personal l3,offer1,agent,suv,medsize
88,central,13466,yes,basic,high school or below,feb,disabled,f,11432,suburban,married,119,17,9,0,2,corporate auto,corporate l3,offer2,agent,four-door car,medsize
89,central,5210,no,basic,bachelor,jan,employed,m,89781,rural,single,66,7,89,0,5,special auto,special l2,offer1,agent,four-door car,small
90,north west,6941,no,basic,college,feb,unemployed,f,11527,suburban,single,111,3,73,3,6,personal auto,personal l3,offer1,agent,suv,small
91,west region,7048,no,basic,college,feb,medical leave,m,24030,suburban,single,194,14,0,0,1,personal auto,personal l1,offer1,agent,luxury suv,medsize
92,central,26770,no,basic,college,jan,employed,f,26335,urban,married,113,32,7,1,2,personal auto,personal l2,offer1,call center,suv,large
93,central,9549,no,basic,high school or below,feb,employed,f,55986,urban,married,119,3,60,0,9,personal auto,personal l1,offer1,agent,suv,small
94,east,4331,no,basic,high school or below,feb,employed,f,82302,suburban,married,106,11,92,0,1,personal auto,personal l2,offer1,branch,suv,medsize
95,east,7294,no,basic,college,feb,unemployed,f,62548,suburban,single,113,12,66,2,7,personal auto,personal l3,offer1,call center,sports car,medsize
96,north west,3289,no,extended,college,jan,employed,m,40097,rural,single,92,23,35,4,1,personal auto,personal l2,offer1,call center,two-door car,medsize
97,north west,2505,no,basic,master,feb,employed,f,60546,rural,single,63,21,71,0,1,personal auto,personal l3,offer2,branch,suv,medsize
98,central,3417,no,extended,high school or below,jan,employed,f,72460,urban,married,85,9,76,0,1,personal auto,personal l2,offer2,call center,four-door car,medsize
99,west region,16320,no,extended,high school or below,feb,unemployed,f,96619,suburban,single,247,5,12,3,5,personal auto,personal l2,offer2,branch,luxury car,medsize
100,west region,2838,no,extended,bachelor,feb,unemployed,f,15429,urban,divorced,80,30,8,0,1,personal auto,personal l1,offer1,web,four-door car,medsize
101,west region,4700,no,basic,college,feb,employed,f,76694,suburban,married,117,34,23,0,1,personal auto,personal l1,offer4,agent,suv,medsize
102,central,2471,yes,basic,high school or below,jan,employed,m,95697,rural,married,61,16,55,0,1,personal auto,personal l2,offer2,agent,two-door car,medsize
103,central,10130,no,extended,doctor,jan,employed,f,59232,suburban,divorced,85,6,75,0,2,corporate auto,corporate l3,offer3,branch,two-door car,medsize
104,west region,3419,no,extended,high school or below,feb,employed,m,40272,rural,married,86,8,64,0,1,personal auto,personal l3,offer3,agent,two-door car,medsize
105,west region,23866,no,extended,high school or below,feb,unemployed,f,60739,suburban,married,81,27,93,1,2,personal auto,personal l2,offer3,branch,four-door car,medsize
106,central,8324,no,extended,high school or below,jan,unemployed,m,47547,suburban,single,121,5,92,0,5,corporate auto,corporate l3,offer2,branch,sports car,medsize
107,central,3179,no,extended,bachelor,jan,employed,f,65742,urban,married,79,6,0,0,1,personal auto,personal l3,offer2,call center,four-door car,medsize
108,north west,6672,no,extended,college,feb,employed,f,56830,urban,married,83,4,27,0,9,personal auto,personal l1,offer2,agent,two-door car,medsize
109,west region,16407,no,premium,bachelor,jan,employed,m,22103,rural,single,109,16,31,0,2,personal auto,personal l2,offer1,agent,four-door car,large
110,central,9371,no,basic,bachelor,feb,employed,f,66325,urban,married,117,10,10,0,5,corporate auto,corporate l2,offer1,agent,suv,medsize
111,central,4270,yes,extended,college,jan,unemployed,m,30183,suburban,married,122,27,2,0,1,personal auto,personal l3,offer2,agent,suv,medsize
112,west region,5799,no,basic,college,jan,employed,m,60689,rural,single,74,29,67,0,7,corporate auto,corporate l2,offer2,branch,four-door car,medsize
113,north west,5096,yes,basic,master,jan,disabled,f,22886,suburban,divorced,65,9,81,0,3,corporate auto,corporate l2,offer1,agent,four-door car,small
114,central,15563,no,premium,bachelor,jan,unemployed,f,31647,suburban,married,253,15,40,5,7,personal auto,personal l1,offer3,web,luxury car,medsize
115,east,7475,no,basic,bachelor,jan,disabled,f,29633,urban,married,196,26,57,0,1,corporate auto,corporate l3,offer1,agent,luxury car,medsize
116,north west,9986,no,extended,high school or below,jan,disabled,m,24067,suburban,single,132,12,2,0,6,corporate auto,corporate l3,offer2,branch,sports car,medsize
117,west region,5568,no,extended,college,feb,employed,f,51489,rural,married,139,14,10,0,1,personal auto,personal l2,offer1,web,suv,medsize
118,east,20579,no,basic,bachelor,jan,unemployed,m,37604,suburban,single,69,5,26,0,2,personal auto,personal l3,offer3,call center,four-door car,medsize
119,north west,8276,no,extended,high school or below,feb,unemployed,m,11319,suburban,single,82,29,92,0,2,personal auto,personal l2,offer3,branch,four-door car,medsize
120,west region,4014,no,extended,master,feb,employed,f,54054,rural,married,99,7,55,0,1,personal auto,personal l2,offer2,branch,four-door car,medsize
121,central,12989,no,basic,bachelor,feb,unemployed,m,90593,suburban,single,65,16,3,0,2,personal auto,personal l3,offer1,web,four-door car,medsize
122,west region,15114,yes,basic,high school or below,jan,medical leave,f,28513,suburban,married,100,4,22,1,2,corporate auto,corporate l2,offer2,call center,suv,medsize
123,east,4709,no,basic,high school or below,feb,unemployed,f,45313,suburban,single,66,17,29,0,3,personal auto,personal l1,offer1,agent,four-door car,small
124,north west,2452,no,basic,college,feb,employed,m,79898,urban,married,62,5,86,1,1,corporate auto,corporate l1,offer4,agent,four-door car,medsize
125,west region,3919,yes,extended,high school or below,jan,employed,f,66676,suburban,married,97,0,40,0,1,personal auto,personal l1,offer3,agent,four-door car,small
126,west region,4716,no,basic,high school or below,feb,employed,m,25746,suburban,married,61,0,84,1,3,corporate auto,corporate l3,offer2,agent,four-door car,medsize
127,north west,12332,no,basic,college,feb,employed,m,85789,rural,married,105,18,54,2,2,personal auto,personal l1,offer1,agent,sports car,medsize
128,west region,35862,no,extended,high school or below,feb,medical leave,m,26376,suburban,divorced,121,7,19,0,2,personal auto,personal l3,offer1,agent,suv,small
129,north west,2398,no,basic,college,feb,disabled,m,14321,suburban,single,65,20,72,0,1,personal auto,personal l2,offer1,branch,four-door car,medsize
130,west region,6005,yes,extended,college,feb,retired,m,13528,suburban,single,86,21,35,0,3,personal auto,personal l3,offer1,agent,four-door car,medsize
131,north west,6265,no,extended,doctor,jan,unemployed,f,87414,suburban,married,84,18,25,1,4,corporate auto,corporate l1,offer1,agent,four-door car,medsize
132,west region,8013,no,basic,bachelor,jan,employed,m,65636,suburban,married,67,15,72,0,2,personal auto,personal l2,offer2,call center,four-door car,medsize
133,east,4979,no,basic,high school or below,jan,unemployed,m,55041,suburban,single,71,17,57,0,5,personal auto,personal l1,offer2,agent,two-door car,medsize
134,central,4834,yes,basic,college,jan,employed,f,38713,suburban,divorced,66,31,69,4,6,corporate auto,corporate l3,offer2,call center,four-door car,medsize
135,central,3288,no,basic,college,jan,unemployed,m,15547,suburban,single,102,16,1,1,1,personal auto,personal l3,offer1,call center,suv,large
136,central,5525,no,basic,college,feb,employed,f,64816,suburban,married,69,30,33,0,7,corporate auto,corporate l2,offer3,agent,four-door car,small
137,east,9031,yes,extended,master,feb,unemployed,f,64383,suburban,single,122,15,47,0,9,corporate auto,corporate l2,offer1,branch,sports car,medsize
138,west region,4620,no,extended,college,feb,unemployed,f,93226,suburban,single,130,11,0,0,1,personal auto,personal l2,offer3,agent,suv,medsize
139,east,5552,no,basic,high school or below,feb,employed,m,50470,suburban,divorced,71,1,87,0,8,corporate auto,corporate l2,offer4,call center,two-door car,large
140,central,3842,no,premium,college,jan,disabled,m,27906,suburban,divorced,102,5,57,0,1,personal auto,personal l3,offer2,call center,four-door car,medsize
141,west region,5093,no,basic,bachelor,jan,employed,f,91814,urban,married,63,30,99,0,3,personal auto,personal l1,offer3,call center,two-door car,medsize
142,north west,16794,no,basic,high school or below,feb,employed,f,38399,urban,married,106,12,6,0,2,personal auto,personal l3,offer2,web,suv,medsize
143,north west,24278,no,extended,master,feb,retired,f,20983,urban,single,97,10,52,1,2,personal auto,personal l2,offer1,branch,four-door car,medsize
144,west region,7462,yes,extended,college,jan,employed,f,70263,rural,married,93,30,66,0,5,personal auto,personal l3,offer2,call center,two-door car,small
145,west region,3735,no,basic,bachelor,jan,unemployed,m,90003,suburban,single,110,3,16,0,1,personal auto,personal l3,offer1,agent,suv,medsize
146,north west,2891,no,basic,bachelor,feb,employed,f,80590,rural,married,71,4,19,0,1,corporate auto,corporate l3,offer4,branch,four-door car,small
147,east,11981,yes,basic,master,jan,retired,f,21514,urban,married,62,0,59,0,2,personal auto,personal l3,offer1,agent,two-door car,medsize
148,west region,2347,no,basic,college,feb,employed,m,31617,urban,single,62,17,29,1,1,personal auto,personal l1,offer1,agent,four-door car,small
149,north west,4282,yes,basic,college,feb,employed,f,40864,rural,married,109,16,70,1,1,personal auto,personal l3,offer1,agent,suv,medsize
150,central,5380,yes,basic,college,feb,employed,f,55350,suburban,married,67,0,13,0,9,personal auto,personal l3,offer1,agent,four-door car,medsize
151,north west,5828,no,basic,college,feb,employed,f,31364,suburban,married,74,28,47,0,3,personal auto,personal l3,offer2,web,four-door car,small
152,west region,5048,no,extended,high school or below,feb,employed,f,34452,suburban,married,126,2,51,0,1,personal auto,personal l1,offer4,agent,suv,large
153,north west,7737,no,basic,college,jan,employed,f,50296,rural,married,65,26,62,1,2,personal auto,personal l2,offer1,call center,two-door car,medsize
154,west region,7950,no,basic,high school or below,jan,employed,m,26189,suburban,single,69,6,42,0,2,personal auto,personal l2,offer3,agent,four-door car,small
155,west region,4111,no,premium,college,jan,employed,f,65085,urban,married,103,20,55,0,1,personal auto,personal l2,offer2,call center,four-door car,medsize
156,east,8007,yes,basic,high school or below,jan,unemployed,f,65605,suburban,divorced,112,12,93,0,3,personal auto,personal l3,offer1,web,sports car,medsize
157,central,4873,no,extended,high school or below,jan,retired,f,18866,suburban,married,126,4,62,0,1,personal auto,personal l2,offer3,call center,suv,medsize
158,north west,2252,no,basic,college,jan,unemployed,f,67682,suburban,single,65,13,84,0,1,personal auto,personal l3,offer3,web,two-door car,medsize
159,north west,4957,no,basic,college,jan,employed,f,62803,suburban,married,62,16,12,0,5,personal auto,personal l3,offer2,web,two-door car,small
160,north west,2655,no,basic,high school or below,jan,employed,f,83460,suburban,divorced,66,20,18,0,1,corporate auto,corporate l2,offer2,call center,four-door car,medsize
161,east,5898,no,extended,bachelor,feb,employed,f,53998,suburban,divorced,78,5,38,5,8,personal auto,personal l3,offer1,call center,four-door car,medsize
162,west region,17723,no,extended,college,feb,employed,f,25771,suburban,married,222,21,58,0,4,personal auto,personal l1,offer1,branch,luxury suv,medsize
163,west region,5108,no,basic,college,jan,disabled,m,26784,suburban,married,67,14,82,0,8,corporate auto,corporate l3,offer3,branch,two-door car,medsize
164,west region,4517,no,basic,bachelor,feb,medical leave,f,25261,suburban,married,118,31,9,0,1,personal auto,personal l3,offer4,branch,suv,medsize
165,central,5310,no,basic,college,feb,unemployed,f,41495,suburban,married,72,17,11,1,3,personal auto,personal l1,offer1,branch,four-door car,small
166,central,2773,no,basic,high school or below,jan,employed,f,73478,urban,married,68,2,38,0,1,personal auto,personal l2,offer2,call center,four-door car,medsize
167,central,5504,yes,basic,bachelor,feb,unemployed,f,36975,suburban,married,73,18,45,0,5,corporate auto,corporate l3,offer1,call center,four-door car,medsize
168,central,6960,no,extended,college,feb,employed,m,74487,rural,divorced,88,8,86,0,3,personal auto,personal l1,offer1,call center,four-door car,medsize
169,east,5010,no,basic,bachelor,jan,employed,f,64014,urban,single,63,15,27,1,7,corporate auto,corporate l3,offer1,agent,four-door car,large
170,north west,8488,no,basic,high school or below,jan,employed,f,80213,suburban,married,70,12,17,0,2,personal auto,personal l3,offer1,branch,two-door car,medsize
171,east,2471,yes,basic,high school or below,jan,employed,m,95697,rural,married,61,16,55,0,1,personal auto,personal l3,offer2,agent,two-door car,medsize
172,north west,5876,no,basic,college,feb,employed,f,32848,urban,married,74,5,59,0,5,personal auto,personal l2,offer3,call center,four-door car,medsize
173,west region,12313,no,premium,college,jan,unemployed,m,26083,suburban,single,116,7,57,0,2,personal auto,personal l1,offer1,call center,two-door car,medsize
174,north west,3982,no,extended,doctor,jan,employed,f,38500,urban,married,99,26,49,1,1,corporate auto,corporate l2,offer1,agent,four-door car,large
175,west region,8237,no,basic,bachelor,jan,medical leave,f,23940,suburban,married,107,13,34,0,7,personal auto,personal l3,offer1,call center,suv,small
176,west region,12487,no,premium,high school or below,jan,employed,f,31283,suburban,married,104,30,3,0,2,personal auto,personal l3,offer1,agent,four-door car,medsize
177,north west,5366,no,basic,doctor,feb,unemployed,f,88396,urban,married,70,5,29,0,4,personal auto,personal l2,offer1,agent,four-door car,large
178,central,2517,no,basic,college,feb,unemployed,f,85283,rural,married,69,30,71,0,1,personal auto,personal l3,offer2,call center,four-door car,medsize
179,west region,5583,no,basic,high school or below,feb,employed,f,57925,urban,single,72,33,13,1,3,corporate auto,corporate l2,offer1,agent,two-door car,medsize
180,west region,7356,no,extended,high school or below,jan,employed,m,81145,urban,married,92,34,92,0,8,corporate auto,corporate l2,offer2,call center,two-door car,large
181,west region,10144,no,extended,college,jan,medical leave,f,27231,suburban,married,88,0,7,0,2,personal auto,personal l2,offer1,branch,four-door car,medsize
182,north west,8672,no,basic,college,jan,employed,f,22547,suburban,divorced,112,7,60,0,3,corporate auto,corporate l3,offer1,agent,suv,medsize
183,west region,2674,yes,basic,college,feb,employed,m,56342,suburban,single,69,12,89,0,1,special auto,special l3,offer2,call center,four-door car,small
184,west region,34611,yes,basic,high school or below,jan,employed,f,20090,suburban,married,109,10,59,0,2,special auto,special l3,offer2,agent,sports car,medsize
185,west region,8071,no,basic,bachelor,feb,employed,m,72149,rural,married,101,18,43,0,6,personal auto,personal l2,offer2,call center,suv,medsize
186,central,2511,no,basic,college,jan,medical leave,m,17658,suburban,married,65,10,44,0,1,personal auto,personal l3,offer3,web,suv,medsize
187,west region,7255,no,extended,college,jan,medical leave,m,10710,suburban,married,94,12,33,0,7,personal auto,personal l2,offer1,branch,two-door car,small
188,central,14510,no,basic,high school or below,jan,employed,m,60120,urban,married,182,30,21,0,6,personal auto,personal l3,offer2,branch,luxury car,medsize
189,west region,11009,yes,premium,bachelor,jan,employed,f,51643,suburban,single,283,16,43,0,1,corporate auto,corporate l3,offer2,agent,luxury car,medsize
190,central,21991,no,basic,college,jan,employed,f,80807,rural,married,109,1,73,0,2,personal auto,personal l3,offer2,branch,suv,large
191,central,4633,no,basic,college,jan,medical leave,m,27132,suburban,single,63,32,59,1,4,personal auto,personal l1,offer1,branch,four-door car,medsize
192,west region,5272,no,basic,doctor,feb,employed,m,85607,rural,single,66,26,1,0,3,personal auto,personal l2,offer2,agent,four-door car,medsize
193,central,4340,no,basic,college,jan,unemployed,m,60346,suburban,single,62,22,39,0,6,personal auto,personal l2,offer3,branch,four-door car,medsize
194,west region,5488,no,basic,high school or below,feb,employed,f,33881,rural,married,68,11,83,0,9,personal auto,personal l3,offer2,web,four-door car,large
195,west region,14228,no,extended,bachelor,jan,employed,m,31650,suburban,married,121,25,17,0,2,personal auto,personal l3,offer1,branch,suv,medsize
196,west region,12840,no,extended,college,feb,unemployed,f,88204,suburban,single,90,1,94,0,2,personal auto,personal l2,offer1,call center,two-door car,large
197,central,2673,no,basic,master,feb,employed,m,28728,suburban,married,67,8,10,0,1,personal auto,personal l3,offer4,branch,four-door car,small
